Question,ExpectedIDs,RetrievedIDs,Recall@5,Precision@5,LLM-as-Judge Score,LLM-as-Judge Justification,ResponseTimeMs,Success,Error
Quais são as obras de Inteligência Artificial no catálogo?,"1,2,11","2,11,1",1.0,1.0,5,"A resposta é coerente, fluida e profissional, apresentando de forma clara as obras de inteligência artificial do catálogo. Não há alucinações, pois todos os livros mencionados estão no contexto fornecido. Além disso, a resposta oferece ganchos de marketing úteis e relevantes, ajudando o setor interno a promover as obras de maneira eficaz.",54602,True,
Indique livros infantis de ficção ou ecológicos recentes,"3,4,10,16","3,16,4,10",1.0,1.0,5,"A resposta é coerente, fluida e profissional, apresentando uma seleção clara de livros infantis do catálogo fornecido. Todos os livros mencionados são relevantes e estão dentro do contexto solicitado, sem alucinações. Além disso, a resposta oferece ganchos de marketing úteis e sugestões práticas para promoção, o que a torna altamente útil para o setor interno.",18296,True,
Quais romances contemporâneos ambientados no Brasil ou na Europa?,"5,6,7,13","6,5,7",0.75,1.0,5,"A resposta é coerente e bem estruturada, apresentando dois livros do catálogo que se encaixam na solicitação do usuário. Os detalhes sobre os livros, suas sinopses e ganchos comerciais são relevantes e úteis para o setor de marketing, além de não conter informações inventadas, mantendo-se fiel ao catálogo fornecido.",44269,True,
Qual a diferença de preço e páginas entre O Algoritmo da Emoção e Machine Learning Prático?,"1,2","1,2",1.0,1.0,5,"A resposta é coerente, bem estruturada e fornece uma comparação clara entre os dois livros, incluindo preços e número de páginas. Além disso, apresenta ganchos de marketing úteis e sugestões de promoção, o que é valioso para as equipes de marketing e vendas.",47799,True,
Como fazer um bolo de cenoura com cobertura de chocolate?,,,1.0,1.0,3,"A resposta é coerente e profissional, mas não atende à pergunta do usuário sobre a receita. Embora informe sobre a falta de livros de culinária, poderia ter oferecido mais informações sobre os gêneros disponíveis, tornando-se mais útil para o usuário.",6384,True,
Quem escreveu o livro O Segredo da Quinta da Colina?,13,13,1.0,1.0,5,"A resposta é coerente, fluida e profissional, apresentando informações precisas sobre o autor e a obra. Além disso, fornece ganchos úteis para o setor de marketing, como comparações com clássicos e sugestões de promoções, o que a torna bastante útil.",32126,True,
Quais livros foram escritos por Luiza Vasconcellos ou Vanessa Dias?,"12,18","18,12",1.0,1.0,3,"Erro ao executar avaliação do juiz: [Errno 8] nodename nor servname provided, or not known",31493,True,
Vocês têm algum livro de receitas prático de gastronomia no catálogo?,20,,0.0,0.0,0,,1104,False,"[Errno 8] nodename nor servname provided, or not known"
"Quais são os livros sobre marketing, vendas ou negócios em geral?","8,9,15",,0.0,0.0,0,,1152,False,"[Errno 8] nodename nor servname provided, or not known"
Indique um livro de ficção científica espacial indicado para pré-adolescentes de 8 a 12 anos?,16,,0.0,0.0,0,,1339,False,"[Errno 8] nodename nor servname provided, or not known"
